customer_id,age,income,region,employment_status,credit_score
A-00001,74,57333.98,West,Employed,699
A-00002,40,21258.95,North,Employed,626
A-00003,26,31701.35,South,Employed,738
A-00004,75,51352.68,North,Employed,626
A-00005,32,44569.01,South,Employed,718
A-00006,48,34304.45,North,Unemployed,621
A-00007,56,49000.67,North,Unemployed,740
A-00008,70,49014.05,North,Employed,850
A-00009,50,58324.78,South,Employed,634
A-00010,66,22761.97,West,Self-Employed,589
A-00011,60,50759.77,South,Self-Employed,748
A-00012,57,28572.34,North,Self-Employed,671
A-00013,33,48354.6,East,Employed,712
A-00014,51,67843.28,North,Employed,670
A-00015,65,56702.32,North,Employed,626
A-00016,33,39188.14,South,Self-Employed,765
A-00017,47,50436.35,South,Employed,619
A-00018,51,30300.01,West,Employed,673
A-00019,74,72415.79,North,Unemployed,742
A-00020,31,58722.04,South,Employed,829
A-00021,33,74927.32,North,Employed,639
A-00022,40,32296.64,West,Employed,610
A-00023,65,40678.85,South,Retired,639
A-00024,38,45138.19,North,Self-Employed,693
A-00025,28,40207.7,South,Employed,660
A-00026,66,48908.38,West,Self-Employed,745
A-00027,50,84896.45,West,Employed,748
A-00028,25,38173.32,West,Employed,582
A-00029,67,55144.0,West,Employed,607
A-00030,18,57227.31,South,Employed,700
A-00031,25,73426.96,North,Employed,622
A-00032,35,68193.32,West,Self-Employed,673
A-00033,22,68871.73,South,Retired,560
A-00034,64,62158.96,North,Employed,677
A-00035,64,42473.49,South,Self-Employed,779
A-00036,26,50489.96,East,Employed,742
A-00037,38,62399.29,West,Unemployed,763
A-00038,55,44048.08,West,Self-Employed,709
A-00039,69,39098.72,East,Employed,625
A-00040,74,42390.84,North,Retired,630
A-00041,71,29687.77,East,Employed,769
A-00042,67,40840.09,South,Employed,597
A-00043,26,59786.97,North,Employed,625
A-00044,65,65653.35,South,Employed,677
A-00045,20,46981.42,West,Employed,627
A-00046,73,63282.31,West,Employed,622
A-00047,51,14666.4,East,Self-Employed,695
A-00048,32,20512.93,North,Employed,730
A-00049,68,36501.21,South,Employed,760
A-00050,34,50437.32,North,Employed,729
A-00051,71,38929.91,North,Employed,571
A-00052,35,88999.37,South,Employed,712
A-00053,39,63745.39,West,Self-Employed,748
A-00054,65,58138.75,North,Self-Employed,655
A-00055,55,37154.76,South,Unemployed,685
A-00056,51,53386.49,South,Unemployed,594
A-00057,64,57237.35,North,Self-Employed,507
A-00058,25,42932.52,South,Employed,678
A-00059,19,83026.79,South,Self-Employed,736
A-00060,34,50311.8,East,Unemployed,774
A-00061,28,45849.27,South,Employed,648
